ship_roll	ship_pitch	ship_yaw	d1	theta2	theta3	d4	theta5	theta6	theta7	catcher	x	y	z	drone_roll	drone_pitch	drone_yaw
0	0	0	50	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	51	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	51.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	51.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	51.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	52	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	52.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	52.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	52.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	53	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	53.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	53.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	53.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	54	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	54.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	54.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	54.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	55	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	55.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	55.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	55.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	56	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	56.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	56.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	56.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	57	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	57.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	57.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	57.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	58	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	58.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	58.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	58.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	59	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	59.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	59.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	59.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	60	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	60.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	60.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	60.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	61	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	61.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	61.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	61.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	62	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	62.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	62.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	62.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	63	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	63.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	63.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	63.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	64	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	64.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	64.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	64.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	65	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	65.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	65.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	65.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	66	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	66.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	66.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	66.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	67	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	67.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	67.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	67.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	68	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	68.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	68.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	68.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	69	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	69.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	69.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	69.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74.25	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74.5	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74.75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	75	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74.7524752475248	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74.5049504950495	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74.2574257425743	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	74.009900990099	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73.7623762376238	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73.5148514851485	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73.2673267326733	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	73.019801980198	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72.7722772277228	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72.5247524752475	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72.2772277227723	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	72.029702970297	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71.7821782178218	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71.5346534653465	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71.2871287128713	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	71.039603960396	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70.7920792079208	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70.5445544554455	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70.2970297029703	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	70.049504950495	0	90	50	0	0	0	0	400	-750	0	0	0	0
