ship_roll	ship_pitch	ship_yaw	d1	theta2	theta3	d4	theta5	theta6	theta7	catcher	x	y	z	drone_roll	drone_pitch	drone_yaw
0	0	0	50	0	45	50	45	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	45.9	50	44.1	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	46.8	50	43.2	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	47.7	50	42.3	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	48.6	50	41.4	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	49.5	50	40.5	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	50.4	50	39.6	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	51.3	50	38.7	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	52.2	50	37.8	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	53.1	50	36.9	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	54	50	36	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	54.9	50	35.1	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	55.8	50	34.2	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	56.7	50	33.3	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	57.6	50	32.4	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	58.5	50	31.5	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	59.4	50	30.6	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	60.3	50	29.7	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	61.2	50	28.8	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	62.1	50	27.9	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	63	50	27	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	63.9	50	26.1	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	64.8	50	25.2	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	65.7	50	24.3	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	66.6	50	23.4	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	67.5	50	22.5	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	68.4	50	21.6	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	69.3	50	20.7	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	70.2	50	19.8	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	71.1	50	18.9	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	72	50	18	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	72.9	50	17.1	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	73.8	50	16.2	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	74.7	50	15.3	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	75.6	50	14.4	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	76.5	50	13.5	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	77.4	50	12.6	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	78.3	50	11.7	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	79.2	50	10.8	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	80.1	50	9.9	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	81	50	9	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	81.9	50	8.1	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	82.8	50	7.2	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	83.7	50	6.3	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	84.6	50	5.4	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	85.5	50	4.5	0	0	0	400	-750	0	0	0	0
